source_name,organization,source_url,priority,purpose_category,likely_data_type,likely_geometry,ecosystem_scope,inventory_use,access_notes,status,notes
Nordic Blue Carbon Project online report,Nordic Council of Ministers,https://pub.norden.org/temanord2020-541/,1,carbon_synthesis,online report / tables,nonspatial,"seagrass; macroalgae; rockweed","Machine-readable companion source for extracting tables and checking citations from TemaNord 2020:541.","Use online report for easier table review; cite DOI/publication metadata from report.",candidate,"Good for reproducible table extraction if PDF parsing is messy."
Gagnon et al. 2024 Norwegian eelgrass carbon stocks,Scientific Reports / Nature Portfolio,https://www.nature.com/articles/s41598-024-74760-3,1,site_observation,article and supplementary tables,point,seagrass,"Core seagrass site-level source for carbon stocks, environmental gradients and coordinates; continue mining supplementary data for missing fields.","Supplementary Table S1 already used for seagrass coordinates; review all supplementary tables before adding more fields.",candidate,"Most important site-level seagrass carbon-stock paper for Norway."
Gundersen et al. 2021 Norwegian kelp biomass and ecosystem services,Frontiers in Marine Science,https://www.frontiersin.org/journals/marine-science/articles/10.3389/fmars.2021.578629/full,1,carbon_synthesis,article / modeled estimates,mixed,macroalgae,"Add kelp biomass, area, carbon stock, export and sequestration estimates by ecoregion/depth where possible.","Tables and supplementary material likely need manual or scripted extraction; preserve model assumptions and uncertainty.",candidate,"Key macroalgae supplement with 630 scuba samples and national kelp forest estimates."
SeaBee,SeaBee / NIVA / partners,https://seabee.no/,2,monitoring_program,drone imagery and derived products,mixed,"seagrass; macroalgae; coastal habitats","Track newer drone-based mapping outputs for seagrass, kelp, rockweed and substrate classes; potential future site/polygon additions.","Check SeaBee data portal/report for public datasets and access constraints.",candidate,"Important future-facing monitoring source, but may require data-access follow-up."
SeaBee ZosMap seagrass mapping article,SeaBee / NIVA,https://seabee.no/drones-for-mapping-seagrass-coastal-carbon/,2,monitoring_program,project article / field-site description,point / polygon,seagrass,"Add candidate Larvik/Ølbergholmen seagrass monitoring/test sites and track forthcoming mapped products.","Article gives field-site context and approximate coordinates; confirm datasets before treating as formal observations.",candidate,"Useful lead for expanding beyond Gagnon site set once data products are available."
SeaBee GeoNode data portal note,SeaBee,https://seabee.no/resources/geonode_data_portal/,2,data_portal,geospatial data portal,mixed,"seagrass; macroalgae; coastal habitats","Potential portal for discovering SeaBee datasets, maps, documents and analysis products.","Open portal and inventory public layers; record license and access status before ingestion.",candidate,"Use to check whether SeaBee-derived habitat products are publicly downloadable."
Norwegian Nature Index,NINA / Norwegian Environment Agency,https://www.nina.no/english/Biodiversity/The-Norwegian-Nature-Index,3,biodiversity_context,index data,regional / national,"seagrass; macroalgae; coastal waters","Add regional/national biodiversity and ecological-condition context for co-benefit/readiness sections.","Better suited to regional or national synthesis than site-level inventory.",candidate,"Useful for co-benefit framing and ecological condition, not direct blue-carbon site measurement."
Norwegian Nature Index data download,Naturindeks / Miljødirektoratet,https://www.naturindeks.no/DownloadData,3,biodiversity_context,open data package,regional / national,coastal_waters,"Download Nature Index values and indicator data for coastal waters to supplement co-benefit and ecological condition tables.","Data are open under CC-BY 4.0; cite dataset DOI from download page.",candidate,"Good next step if we add a policy/co-benefit evidence table."
MASSIMAL,UiT The Arctic University of Norway,https://en.uit.no/project/massimal,2,remote_sensing,drone hyperspectral datasets / publications,mixed,"seagrass; macroalgae; kelp forests","Potential source for mapped marine habitats from Bodø, Vega, Smøla and Larvik, including eelgrass, seaweed communities, kelp forests and rocky seabeds.","Check publications/data links/GitHub repositories from project page before ingestion.",candidate,"Strong candidate for supplementing site inventory with newer remote-sensing training/validation sites."
World Database on Protected Areas (WDPA),IUCN / UNEP-WCMC / Protected Planet,https://www.protectedplanet.net/,1,pressure_layer,geospatial dataset,polygon,"seagrass; macroalgae; protected areas","Compute spatial overlap between Norwegian MPAs and inventory sites or modeled habitat polygons; closes the explicit MPA-overlap gap noted in the roadmap (27 MPAs ~6173 km² with eelgrass overlap unquantified).","Free shapefile/GDB country subset; intersect with eelgrass and kelp polygons; pair with Norwegian Verneområder for higher-resolution national MPAs.",candidate,"Directly addresses a roadmap-flagged gap; global coverage useful as a fallback or for cross-Nordic comparison."
Norwegian Verneområder (national protected areas),Miljødirektoratet / Geonorge,https://www.geonorge.no/,1,pressure_layer,geospatial dataset,polygon,"seagrass; macroalgae; protected areas","Authoritative Norwegian polygons for national parks, nature reserves, marine protected areas and Ramsar sites; higher resolution than WDPA for domestic analysis.","Search Geonorge catalogue for verneomraader; download shapefile/GeoJSON; verneform attribute distinguishes MPA categories.",candidate,"Will resolve named case-study sites such as Sørkjosleira and Kobbevågen as Ramsar polygons and quantify the MPA / eelgrass overlap that the roadmap flags as unquantified."
Copernicus Marine Service - Nordic Seas reanalysis and forecasting,Copernicus Marine (EU) / Mercator Ocean,https://marine.copernicus.eu/,1,environmental_driver,reanalysis / gridded ocean model,grid,"seagrass; macroalgae","Source SST climatology and marine heatwave (MHW) frequency, duration and intensity layers per Hobday et al. classification for the Norwegian shelf and fjords; closes the no-Norway-specific-MHW gap flagged in the roadmap.","Free CMEMS account; NetCDF download (NWSHELF or ARCTIC products); compute MHW indices with the marineHeatWaves Python package or xmhw.",candidate,"Highest-leverage climate dataset; produces a regionalized pressure layer instead of relying on global qualitative claims about warming."
MAREANO seabed mapping programme,Havforskningsinstituttet / NGU / Kartverket,https://www.mareano.no/,2,environmental_driver,geospatial dataset,mixed,"macroalgae; benthic habitats","National-scale seabed mapping (depth, substrate, biotope, sensitive habitats) covering most of the Norwegian shelf; complements Marine grunnkart i kystsonen which is pilot-area only.","Open WMS/WFS via Geonorge and downloadable layers per area.",candidate,"Provides shelf-scale benthic context that Marine grunnkart cannot yet supply outside pilot areas."
NIVA Vannmiljø coastal water-quality database,Miljødirektoratet / NIVA,https://vannmiljo.miljodirektoratet.no/,2,environmental_driver,measurement database,point,"seagrass; macroalgae","Add eutrophication and water-quality drivers (chlorophyll-a, dissolved nutrients, turbidity, oxygen, secchi) as site-context attributes for inventory points and canonical regions.","Open access; web portal export or API; coastal stations near eelgrass and kelp sites are most relevant.",candidate,"Direct support for pressure analysis in Step 1 and explains site-level variation in Steps 2-3; complements NINA Nature Index by providing measurement-level data instead of a derived index."
Havforskningsinstituttet kelp forest monitoring (Christie / Norderhaug program),Havforskningsinstituttet,https://www.hi.no/,2,monitoring_program,long-term ecological time series,point / transect,macroalgae,"Long-term Saccharina latissima and Laminaria hyperborea transect monitoring across Skagerrak, Mid-Norway and Northern Norway; fills the absence of multi-decadal kelp time series in the workbook.","Contact HI for raw access; published synthesis in Christie et al. 2009 and follow-on papers; some data deposited in NMDC.",candidate,"Adds the temporal dimension currently missing from the kelp inventory and supports permanence and climate-risk arguments in Step 3."
Akvakulturregisteret (Norwegian Aquaculture Register),Fiskeridirektoratet,https://www.fiskeridir.no/,2,pressure_layer,point dataset,point,"seagrass; macroalgae","Authoritative Norwegian aquaculture facility coordinates (salmon and other species) with operational status; serves as a local nutrient-loading and physical-disturbance pressure proxy near eelgrass and kelp sites.","Open data; downloadable site list with WGS84 coords; filter to active marine cage sites.",candidate,"Higher resolution and Norwegian-authoritative compared to the EMODnet aquaculture layer."
Norwegian Climate Service Centre (KSS / Klimaservicesenter),Norwegian Climate Service Centre / Met.no,https://klimaservicesenter.no/,3,environmental_driver,projections / observations,grid,"seagrass; macroalgae","Regional climate projections (SST, salinity, precipitation, runoff, sea-level) for Norwegian shelf and coast; supports Step 3 climate-risk and Step 5 implementation discussion.","Open data; gridded projections under CMIP-aligned scenarios; downloadable per region/parameter.",candidate,"Useful for projecting future habitat suitability and pairing observed MHW frequency with future trajectories."
Global Fishing Watch,Global Fishing Watch,https://globalfishingwatch.org/,3,pressure_layer,raster / gridded AIS effort,grid,"seagrass; macroalgae","Additional fishing-effort pressure layer separated by gear type (bottom trawl, set-gillnet, longline) as a complement to EMODnet vessel density.","Free API and downloadable daily 0.01-degree gridded effort by gear class.",candidate,"Partly redundant with EMODnet vessel density but separates fishing gear types, useful for trawl-disturbance proxy specifically."
